name,fsq_id,categories,distance,address,latitude,longitude
La Casa Gelato,4aab0973f964a520a65820e3,"Ice Cream Parlor, Restaurant",419,"1033 Venables St (at Glen Dr), Vancouver BC V6A 3R9",49.276991,-123.081598
Cooper's Park,4aa9d826f964a5206b5520e3,"Dog Park, Playground",44,"1020 Marinaside Cres (Cambie Bridge), Vancouver BC",49.273486,-123.114075
Ramen Danbo - Robson,5646ab13498e460c732920e8,Ramen Restaurant,126,"1333 Robson St (btwn Broughton & Jervis), Vancouver BC V6E 1C6",49.287499,-123.12898
Indian Oven Restaurant Ltd,4abff3e8f964a520329320e3,Indian Restaurant,294,"2006 4th Ave W (at Maple St), Vancouver BC V6J 1M9",49.267949,-123.150667
Tisol,4b2aa15ef964a520a0ac24e3,Pet Supplies Store,220,"2949 Main St (14th Ave), Vancouver BC V5T 3G4",49.258788,-123.101792
Potluck Hawker Eatery,5e6d35c49ce20d0008744a09,Malay Restaurant,598,"3424 Cambie St (b/w W. 18th Avenue & W. 19th Avenue), Vancouver BC V5Z 2W8",49.254508,-123.114891
Go Fish,4aa967a7f964a5207e5320e3,"Seafood Restaurant, Meat and Seafood Store",107,"1505 1 St Ave W (at Fisherman’s Wharf), Vancouver BC V6J 1E8",49.271466,-123.140506
Loblaws Inc,56525326498e405c3af94d64,Retail,34,"3185 Arbutus St (West 16th Avenue), Vancouver BC V6J 3Z3",49.257554,-123.153669
Loafe Cafe,58b092e0951e7d0a63d71bed,"Café, Coffee Shop, Restaurant",133,"6163 University Blvd, Vancouver BC V6T 1Z1",49.265967,-123.250135
Second Cup Coffee Co,4cd490f17da9a35daa6be4b9,"Café, Coffee Shop, Restaurant",238,"4500 Oak St (in BC Childrens & Womens Hospital), Vancouver BC V6H 3N1",49.245427,-123.127415
Beaucoup Bakery & Cafe,50d4bd11e4b0b55bb4b657a3,"Bakery, French Restaurant",44,"2150 Fir St (at W 6th Ave), Vancouver BC V6J 3B5",49.266477,-123.140728
Mercante,523a49308bbd105556ae15e1,"Pizzeria, Italian Restaurant",87,"6488 University Blvd (at West Mall), Vancouver BC V6T 1Z2",49.263692,-123.255043
Earnest Ice Cream,59449f7a747ecd08014edd01,"Ice Cream Parlor, Restaurant",97,"1485 Frances St (at McLean Dr), Vancouver BC V5L 1Z1",49.27967,-123.074767
Breka Bakery & Cafe,510b1603e4b0607cda141579,"Bakery, Café, Restaurant",148,"812 Bute St (at Robson St), Vancouver BC V6E 1Y4",49.285765,-123.127128
Kitsilano Pool,4aaad0fff964a5208c5720e3,Swimming Pool,168,"2305 Cornwall Ave (Vine), Vancouver BC V6K 1B6",49.273271,-123.157368
Cardero's Restaurant & Marine Pub,4aa7f160f964a5201c4e20e3,"Bar, Fish and Chips Shop, Seafood Restaurant",162,"1583 Coal Harbour Quay (btwn Cardero & Nicola), Vancouver BC V6G 3E7",49.291554,-123.127461
Coal Harbour Gifts,4c19649998f4a5932b0f00f6,Gift Store,78,"555 Hastings St W (Jervis St), Vancouver BC V6B 4N6",49.28443,-123.112168
Salmon n' Bannock,4b81b5cef964a52030b930e3,Restaurant,216,"1128 Broadway W, Vancouver BC V6H 1G5",49.263305,-123.129752
Milano Coffee,4aec909ff964a520ccc821e3,"Coffee Shop, Restaurant",170,"156 8th Ave W (btwn Columbia & Manitoba St), Vancouver BC V5Y 1N2",49.263724,-123.108701
Corduroy Pie Co,54c074fa498e4624306b462e,Pizzeria,264,"758 16th Ave W (Willow), Vancouver BC V5Z 1S7",49.256904,-123.121177
Commercial Street Cafe,509ffdfee4b0f56d61d68a87,"Café, Coffee Shop, Restaurant",22,"3599 Commercial St (at E 20th Ave), Vancouver BC V5N 4E8",49.252597,-123.068255
Nook,51e1f9bb498e7b1ebb05f623,"Pizzeria, Italian Restaurant",128,"1525 Yew St (Cornwall Ave), Vancouver BC V6K 3E5",49.272283,-123.155174
Ancora Waterfront Dining and Patio,559ff1da498e818b3ace65a4,"Mediterranean Restaurant, Seafood Restaurant",196,"1600 Howe St, Vancouver BC V6Z 2L9",49.27371,-123.132588
Harbour Green Park,4c474fc476d72d7fa3c03c4d,Park,30,"1187A1 W Cordova St (Bute St.), Vancouver BC V6C 3R4",49.289362,-123.121757
Indian Roti Kitchen,52ae4f3c11d227ba4f4b055a,Indian Restaurant,220,"2961 Cambie St, Vancouver BC V5Z 2V7",49.258983,-123.115272
Double DD Pizza,4bfc82231be376b0ddd0f8b4,"Pizzeria, Greek Restaurant",326,"3510 4th Ave W, Vancouver BC V6R 1N8",49.268436,-123.18209
Hot Pink,4fdbf49da17c490bc805d53d,Art Gallery,97,"2075 Yukon St (5th Ave.), Vancouver BC V5Y 3W3",49.26685,-123.113022
Thai Basil Restaurant,4ab8356ff964a5208f7c20e3,Thai Restaurant,81,"1215 Thurlow St, Vancouver BC V6E 1X4",49.280355,-123.131452
Indian Roti Kitchen,52ae4f3c11d227ba4f4b055a,Indian Restaurant,25,"2961 Cambie St, Vancouver BC V5Z 2V7",49.258983,-123.115272
Hawksworth Restaurant,4d2cce46ae3a8cfa4067bf70,Restaurant,111,"801 Georgia St W (at Howe St), Vancouver BC V6C 1P7",49.283302,-123.11938
Tandoori Palace,4ab99baef964a520008020e3,Indian Restaurant,42,"1439 Commercial Dr (Grant), Vancouver BC V5L 3X8",49.271667,-123.069788
33 Acres Brewing Co,51b201d27dd249ae714ba728,"Bar, Brewery, Restaurant",10,"15 8th Ave W (btwn Manitoba & Ontario), Vancouver BC V5Y 1M8",49.263877,-123.105307
Pallet Coffee Roasters,5d3a13ed0362970008f60887,Coffee Shop,110,"980 Howe St, Vancouver BC V6Z 0C8",49.279891,-123.123788
Vancouver Art Gallery,4aa6f2c7f964a5209b4b20e3,Art Gallery,27,"750 Hornby St (btwn Robson & W Georgia St.), Vancouver BC V6Z 2H7",49.282925,-123.12041
Jam Cafe,571f842a498e10fa3180d4cd,"Coffee Shop, Restaurant",71,"556 Beatty St, Vancouver BC V6B 2L3",49.280306,-123.109627
Commodore Ballroom,4aa733fbf964a520444c20e3,Music Venue,119,"838 Granville St (Btw Robson & Smithe), Vancouver BC V6Z 1K3",49.280556,-123.12045
Kishimoto Japanese Kitchen + Sushi Bar,4dfe52e6b0fb709b61e36ce6,Sushi Restaurant,49,"2054 Commercial Dr (4th Ave. East), Vancouver BC V5N 4A9",49.26661,-123.069522
La Petite Cuillere,5044114ce4b003e2b452ddee,"Tea Room, Fast Food Restaurant, Sandwich Spot",39,"55 Kingsway (at 8th Ave.), Vancouver BC V5T 3J1",49.263551,-123.099764
Vancouver Public Library,4aa73e90f964a520754c20e3,Library,66,"350 Georgia St W (btwn Homer & Hamilton), Vancouver BC V6B 6B1",49.279525,-123.115401
Eq3,4ac7c573f964a520adb920e3,Furniture and Home Store,41,"2536 Granville St, Vancouver BC V6H 3G8",49.265247,-123.138677
Cobs Bread,4c4a3fe2c8b6b71364090efb,Bakery,205,"1160 Davie St (between Thurlow and Bute), Vancouver BC V6E 1N1",49.281117,-123.132734
Creekside Park,4b7c2ccaf964a5201a822fe3,"Restaurant, Park",114,"1455 Quebec St (at Science World), Vancouver BC V6A 3Z7",49.274585,-123.102893
Sura,4ad687d0f964a520aa0721e3,Korean Restaurant,54,"1518 Robson St, Vancouver BC V6G 1C2",49.288894,-123.131696
Rio Theatre,4aab43bff964a520555920e3,Movie Theater,73,"1660 Broadway E (Commercial Drive), Vancouver BC V5N 1W1",49.262048,-123.070353
Winona Park,4aac95abf964a5204a5e20e3,Landmarks and Outdoors,105,"400 W 59th Ave (at Columbia St), Vancouver BC",49.263009,-123.113182
Amato Gelato Cafe,4b730a25f964a52086972de3,"Ice Cream Parlor, Restaurant",34,"78 1st Ave E, Vancouver BC V5T 1A1",49.270065,-123.102995
Parallel 49 Brewing Co,4f1b5861e4b08382320d3f2e,"Brewery, Restaurant",284,"1950 Triumph St (btwn Victoria & Semlin), Vancouver BC V5L 1K5",49.283798,-123.064405
Nemesis Coffee,60c0e6aabc1aaf0666085360,"Coffee Shop, Restaurant",133,"555 Great Northern Way (btwn Thornton & Carolina), Vancouver BC V5T 1E2",49.267091,-123.092602
The Beaumont Studios,4aa84de2f964a520ba5020e3,Art Gallery,125,"316W 5th Ave W (near Alberta St), Vancouver BC V5Y 1J5",49.266432,-123.111121
White Spot,4b5f6cd8f964a52090b929e3,"Burger Joint, Fast Food Restaurant",63,"5367 West Blvd (37th), Vancouver BC V6M 3W4",49.237693,-123.155615
Trafalgar Beach,504fc3c9e4b032bac6a4524b,Beach,97,Vancouver BC,49.273825,-123.164065
Their There,5b391fb5ea1e440039ec0f6a,"Bakery, Café, Sandwich Spot",146,"2042 4th Ave W, Vancouver BC V6J 1M9",49.267851,-123.151388
Variety Kids Water Park in Stanley Park,4c49fa7642b4d13aefbe8c7c,"Water Park, Park, Tourist Information and Service",55,"715 Stanley Park Dr (at Avison Way), Vancouver BC V6G 3E2",49.297761,-123.13148
Brewery Creek Cold Beer & Wine Store,4aa89591f964a5209e5120e3,Liquor Store,73,"3045 Main St (14th Ave), Vancouver BC V5T 3G6",49.257934,-123.101476
Phnom Penh,4aa7fa85f964a520704e20e3,"Cambodian Restaurant, Chinese Restaurant, Vietnamese Restaurant",130,"244 E. Georgia St (at Main St), Vancouver BC V6A 1Z7",49.278403,-123.098188
Jericho Tennis Club,4aac17d1f964a520315c20e3,Tennis Court,255,"3837 Pt Grey Rd (Wallace Street), Vancouver BC V6R 1B3",49.272463,-123.189167
Cultivate Tea,54beb970498eb85a5752a632,"Lounge, Tea Room",18,"3623 Main St, Vancouver BC V5V 3N6",49.252537,-123.101179
Tacofino,56e71692498e78e8143f679d,Taco Restaurant,66,"1025 Mainland St (Nelson), Vancouver BC V6B 5P9",49.276488,-123.119685
Double DD Pizza,4bfc82231be376b0ddd0f8b4,"Pizzeria, Greek Restaurant",483,"3510 4th Ave W, Vancouver BC V6R 1N8",49.268436,-123.18209
Hot Pink,4fdbf49da17c490bc805d53d,Art Gallery,101,"2075 Yukon St (5th Ave.), Vancouver BC V5Y 3W3",49.26685,-123.113022
Shoppers Drug Mart,4aadd858f964a5207c6120e3,Drugstore,210,"1780 West Broadway (Burrard St), Vancouver BC V6J 1Y1",49.263532,-123.144937
Small Victory,5ba59a6bfebf31002cb54fa0,"Bakery, Dessert Shop, Restaurant",88,"3070 Granville St, Vancouver BC V6H 3J8",49.258291,-123.138568
Wall & Trinity Park,5039506de4b03fdd88b86621,Park,70,"Wall St (at Trinity St), Vancouver BC",49.287945,-123.060131
The Inukshuk,4b5b84c0f964a5202f0429e3,"Public Art, Restaurant, Fountain, Hotel",144,"1700 Beach Ave, Vancouver BC",49.284303,-123.143552
Romer's Burger Bar,4c1fcb2db4e62d7f252fe093,"Burger Joint, Fast Food Restaurant",26,"1873 4th Ave W (btwn Cypress & Burrard), Vancouver BC V6J 1M4",49.268222,-123.147528
Breka Bakery & Cafe,510b1603e4b0607cda141579,"Bakery, Café, Restaurant",12,"812 Bute St (at Robson St), Vancouver BC V6E 1Y4",49.285765,-123.127128
Cafe Medina,4aa7dce2f964a520ad4d20e3,"Café, Mediterranean Restaurant",64,"780 Richards St (btwn W Georgia & Robson), Vancouver BC V6B 3A4",49.280498,-123.116863
La Casa Gelato,4aab0973f964a520a65820e3,"Ice Cream Parlor, Restaurant",56,"1033 Venables St (at Glen Dr), Vancouver BC V6A 3R9",49.276991,-123.081598
La Taqueria Pinche Taco Shop,4e223f06d4c0d32590f80ff4,Taco Restaurant,36,"2450 Yukon St (at W Broadway), Vancouver BC V5Y 0A4",49.263637,-123.112586
AnnaLena,550500d6498e843f63843a8a,Restaurant,55,"1809 1st Ave W (btwn Cypress & Chestnut), Vancouver BC V6J 5B8",49.270791,-123.146937
The Cascade Room,4aa6f181f964a520934b20e3,"Lounge, American Restaurant",98,"2616 Main St (at 10th Ave), Vancouver BC V5T 3E6",49.261744,-123.100746
Cafe Medina,4aa7dce2f964a520ad4d20e3,"Café, Mediterranean Restaurant",119,"780 Richards St (btwn W Georgia & Robson), Vancouver BC V6B 3A4",49.280498,-123.116863
Nook,51e1f9bb498e7b1ebb05f623,"Pizzeria, Italian Restaurant",62,"1525 Yew St (Cornwall Ave), Vancouver BC V6K 3E5",49.272283,-123.155174
Seaside Seawall,4df29cb0fa76abc3d86a240a,Hiking Trail,74,"Quebec St, Vancouver BC",49.272387,-123.104085
Pottery Barn,4ab55c84f964a5202f7420e3,Department Store,37,"2600 Granville St (at W 10th Ave.), Vancouver BC V6H 3H8",49.262472,-123.138439
The Burrow,4aad7575f964a520666020e3,"Tex-Mex Restaurant, Vegan and Vegetarian Restaurant",530,"2781 Commercial Dr (at E 12th Ave), Vancouver BC V5N 4C5",49.259684,-123.06999
The Acorn,4ff50236e4b0fecb24dd4b62,Vegan and Vegetarian Restaurant,253,"3995 Main St (24th Ave), Vancouver BC V5V 3P3",49.249622,-123.101499
The Wolf and Hound,4aa7e94cf964a520f64d20e3,"Pub, Restaurant",35,"3617W Broadway W (btwn Dunbar & Alma), Vancouver BC V6R 2B8",49.264466,-123.184181
Pidgin,4fae01d3e4b0861eac7a985a,Restaurant,82,"350 Carrall St (btwn Cordova & Hastings), Vancouver BC V6B 2J3",49.281822,-123.10406
St. Augustine's,4ad25114f964a520e0e020e3,"Sports Bar, Brewery, Burger Joint",93,"2360 Commercial Dr (at Grandview Hwy), Vancouver BC V5N 4B7",49.263783,-123.069526
Charleson Park,4aada430f964a5201f6120e3,Park,245,"999 Charleson St, Vancouver BC",49.266831,-123.124538
Ancora Waterfront Dining and Patio,559ff1da498e818b3ace65a4,"Mediterranean Restaurant, Seafood Restaurant",176,"1600 Howe St, Vancouver BC V6Z 2L9",49.27371,-123.132588
Phnom Penh,4aa7fa85f964a520704e20e3,"Cambodian Restaurant, Chinese Restaurant, Vietnamese Restaurant",486,"244 E. Georgia St (at Main St), Vancouver BC V6A 1Z7",49.278403,-123.098188
Earnest Ice Cream,54bea64f498ec3ed3dde9a10,"Ice Cream Parlor, Restaurant",75,"1829 Quebec St (at E 2nd Ave), Vancouver BC V5T 2Z3",49.268876,-123.102894
Outdoor Movies by Fresh Air Cinemas,4c3e8adf83a3a593e053ee33,Arts and Entertainment,44,Vancouver BC,49.294718,-123.148906
Nemesis Coffee,60c0e6aabc1aaf0666085360,"Coffee Shop, Restaurant",246,"555 Great Northern Way (btwn Thornton & Carolina), Vancouver BC V5T 1E2",49.267091,-123.092602
Loafe Cafe,58b092e0951e7d0a63d71bed,"Café, Coffee Shop, Restaurant",84,"6163 University Blvd, Vancouver BC V6T 1Z1",49.265967,-123.250135
Kidsbooks,4aa99de5f964a520875420e3,Bookstore,25,"3083W Broadway W, Vancouver BC V6K 2G9",49.264305,-123.173708
Keefer Bar,4b77ba28f964a52064a82ee3,"Cocktail Bar, Lounge, Restaurant",364,"135 Keefer St (btwn Columbia & Main), Vancouver BC V6A 1X3",49.279619,-123.101293
George Wainborn Park,4aa99f79f964a5208e5420e3,Playground,139,"450 Beach Cres (at Richards St.), Vancouver BC V6Z 3E5",49.272361,-123.12939
Sawasdee Thai Restaurant,4ae65e64f964a520b5a621e3,Thai Restaurant,46,"4250E Main St (at E. 26th Ave.), Vancouver BC V5V 3P9",49.247047,-123.100956
Second Beach,4c0b1f677e3fc928cdebf482,Beach,39,"8501 Stanley Park Dr (at N Lagoon Dr), Vancouver BC V6G 1Z4",49.295623,-123.150768
Gorilla Surplus,4ad645d1f964a520420621e3,Military,489,"1458 Broadway E, Vancouver BC V5N 1V6",49.262154,-123.074337
Jericho Beach,4e06dced8130709eafbca3ed,Urban Park,67,"3941 Pt Grey Rd, Vancouver BC V6R 1B5",49.271705,-123.191696
Volunteer Park,4dd1e9e51838a751964f9c00,Park,95,"Pt Grey Rd (at Macdonald St.), Vancouver BC",49.271394,-123.169452
Gorilla Surplus,4ad645d1f964a520420621e3,Military,235,"1458 Broadway E, Vancouver BC V5N 1V6",49.262154,-123.074337
Sushi Osaka,4ab988d5f964a520cb7f20e3,Sushi Restaurant,375,"1361 Burrard St (btwn Pacific & Harwood), Vancouver BC V6Z 1Z7",49.277632,-123.131868
49th Parallel Café & Lucky's Doughnuts - THURLOW,59b17359cf72a06947102770,Dining and Drinking,82,"689 Thurlow St, Vancouver BC V6E 0A1",49.286052,-123.122935
