Station Name,empty_slots,free_bikes,ebikes,normal_bikes,latitude,longitude,timestamp,Unique ID
Abbott & Cordova,1,19,0,19,49.282759,-123.106955,2024-10-17T23:52:11.058857Z,0030
Sasamat & 10th,14,7,5,2,49.264019,-123.209176,2024-10-17T23:52:11.123383Z,0716
Vine & 4th,13,5,0,5,49.268339,-123.157443,2024-10-17T23:52:11.112899Z,0159
10th & Ontario,14,5,4,1,49.262062,-123.104656,2024-10-17T23:52:11.113486Z,0176
Pine & 10th,11,6,3,3,49.262822,-123.14338,2024-10-17T23:52:11.115315Z,0205
Wallace & 4th,16,2,1,1,49.268974,-123.190701,2024-10-17T23:52:11.121127Z,0401
Pacific & Richards,9,1,0,1,49.273663,-123.127075,2024-10-17T23:52:11.059745Z,0044
7th &  Alder,13,3,0,3,49.265198,-123.131043,2024-10-17T23:52:11.114468Z,0192
Canada Place,1,21,7,14,49.287214,-123.11287,2024-10-17T23:52:11.058069Z,0014
Heather & 18th,9,5,3,2,49.255034,-123.120226,2024-10-17T23:52:11.122283Z,0511
14th & Oak,13,1,0,1,49.258761,-123.127071,2024-10-17T23:52:11.115177Z,0202
Bute & Comox,17,0,0,0,49.283343,-123.131099,2024-10-17T23:52:11.060277Z,0050
Comox & Broughton,11,1,0,1,49.285253,-123.134356,2024-10-17T23:52:11.060195Z,0048
Station & Terminal,3,14,3,11,49.272172,-123.097978,2024-10-17T23:52:11.120999Z,0354
Stanley Park - Third Beach Parking Lot,18,18,3,15,49.302577,-123.155616,2024-10-17T23:52:11.096419Z,0103
Woodland & 4th,10,4,1,3,49.266751,-123.073501,2024-10-17T23:52:11.118617Z,0250
8th & Ash,7,7,6,1,49.264215,-123.117772,2024-10-17T23:52:11.057616Z,0008
Burrard & Drake,20,0,0,0,49.27808,-123.130557,2024-10-17T23:52:11.082525Z,0089
10th & Kingsway,11,8,3,5,49.261973,-123.09725,2024-10-17T23:52:11.113914Z,0186
10th & Oak,24,4,1,3,49.262255,-123.126217,2024-10-17T23:52:11.096992Z,0112
Hawks & Union,5,10,1,9,49.277333,-123.087359,2024-10-17T23:52:11.116603Z,0219
Marinaside & Cooperage,2,22,2,20,49.273833,-123.114373,2024-10-17T23:52:11.079650Z,0057
Alberni & Jervis,4,16,1,15,49.28763,-123.127245,2024-10-17T23:52:11.115444Z,0207
7th & Arbutus,16,0,0,0,49.265605,-123.152566,2024-10-17T23:52:11.096859Z,0109
14th & Ontario,14,2,1,1,49.25849,-123.104799,2024-10-17T23:52:11.097727Z,0132
King Edward & Cambie,6,11,5,6,49.249184,-123.116141,2024-10-17T23:52:11.122413Z,0524
1st & Fir,14,4,0,4,49.270783,-123.141564,2024-10-17T23:52:11.120869Z,0315
Arbutus & 16th,35,5,0,5,49.257654,-123.153212,2024-10-17T23:52:11.097057Z,0113
War Memorial Gym,17,10,1,9,49.2665793,-123.2485487,2024-10-17T23:52:11.123882Z,2143
28th & Willow,18,0,0,0,49.246243,-123.124373,2024-10-17T23:52:11.122219Z,0505
Arbutus Greenway & Fir,4,11,2,9,49.266774,-123.141135,2024-10-17T23:52:11.112699Z,0153
West Mall Swing Space Building,7,12,5,7,49.263073,-123.254307,2024-10-17T23:52:11.123494Z,2114
McLean & Pender,14,2,0,2,49.280427,-123.074082,2024-10-17T23:52:11.117186Z,0225
Bute & Barclay,11,19,0,19,49.284893,-123.128685,2024-10-17T23:52:11.120408Z,0300
Balsam & Cornwall,0,0,0,0,49.273011,-123.159663,2024-10-17T23:52:11.121962Z,0470
Hastings & Broughton,7,17,1,16,49.290112,-123.127062,2024-10-17T23:52:11.059341Z,0035
Seymour & Cordova,0,17,2,15,49.28512,-123.11242,2024-10-17T23:52:11.120545Z,0308
Alder & 11th,9,3,1,2,49.261742,-123.13148,2024-10-17T23:52:11.113094Z,0166
10th & Columbia,7,6,2,4,49.262206,-123.109091,2024-10-17T23:52:11.113288Z,0172
Heather & 14th,12,4,1,3,49.259183,-123.120126,2024-10-17T23:52:11.096654Z,0106
Commercial & 20th,17,3,2,1,49.252656,-123.067965,2024-10-17T23:52:11.120934Z,0352
Kitsilano Beach Park,27,8,1,7,49.273355,-123.154493,2024-10-17T23:52:11.112768Z,0154
Rolston & Granville,12,2,0,2,49.274232,-123.129998,2024-10-17T23:52:11.120804Z,0314
Cordova & Bute,8,5,2,3,49.289124,-123.12196,2024-10-17T23:52:11.059256Z,0034
12th & Yukon (City Hall),8,8,0,8,49.260599,-123.113504,2024-10-17T23:52:11.057547Z,0007
Blenheim & 4th,13,9,0,9,49.268837,-123.177633,2024-10-17T23:52:11.121445Z,0431
Wylie & 2nd,10,7,2,5,49.267725,-123.11311,2024-10-17T23:52:11.112357Z,0144
Thurlow & Pendrell,14,1,1,0,49.280881,-123.130672,2024-10-17T23:52:11.097518Z,0126
14th & Cambie,10,1,0,1,49.258763,-123.115392,2024-10-17T23:52:11.081612Z,0072
Granville & Georgia,1,18,6,12,49.282409,-123.118541,2024-10-17T23:52:11.058135Z,0015
Grant & Commercial,13,0,0,0,49.271377,-123.069416,2024-10-17T23:52:11.117897Z,0239
8th & Ontario,9,4,2,2,49.263837,-123.105173,2024-10-17T23:52:11.096723Z,0107
Hornby & Nelson,16,1,1,0,49.28062,-123.12482,2024-10-17T23:52:11.059483Z,0037
šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,20,8,1,7,49.283227,-123.120523,2024-10-17T23:52:11.095903Z,0099
Dunsmuir & Beatty,16,9,0,9,49.279764,-123.110154,2024-10-17T23:52:11.057405Z,0005
Robson & Granville,19,2,0,2,49.281506,-123.120101,2024-10-17T23:52:11.080516Z,0063
4th & Commercial,14,0,0,0,49.266969,-123.069936,2024-10-17T23:52:11.118034Z,0241
8th & Scotia,6,4,0,4,49.263635,-123.099236,2024-10-17T23:52:11.115380Z,0206
Homer & Robson (Vancouver Public Library),12,7,1,6,49.279739,-123.116251,2024-10-17T23:52:11.058550Z,0025
7th & Granville,14,0,0,0,49.2653,-123.13811,2024-10-17T23:52:11.081393Z,0069
Harwood & Bute,19,1,0,1,49.28026,-123.135244,2024-10-17T23:52:11.082471Z,0088
Creekside Park North,0,16,0,16,49.2756,-123.102661,2024-10-17T23:52:11.112493Z,0148
Nicola & Robson,14,3,1,2,49.2885056,-123.1312375,2024-10-17T23:52:11.082754Z,0096
10th & Commercial,22,2,0,2,49.261403,-123.070102,2024-10-17T23:52:11.118171Z,0244
10th & Cambie,18,17,0,17,49.262487,-123.114397,2024-10-17T23:52:11.057156Z,0001
Quebec & 1st,7,7,0,7,49.27033,-123.10275,2024-10-17T23:52:11.113551Z,0177
Lakewood & Oxford,14,3,0,3,49.285575,-123.061575,2024-10-17T23:52:11.123127Z,0621
Carolina & Great Northern Way,6,9,2,7,49.267266,-123.090786,2024-10-17T23:52:11.120211Z,0287
Columbia & 5th,10,8,0,8,49.266476,-123.109389,2024-10-17T23:52:11.113029Z,0165
East Blvd & 37th,19,1,1,0,49.238105,-123.154966,2024-10-17T23:52:11.122092Z,0482
Trafalgar & Cornwall,17,3,1,2,49.272969,-123.164325,2024-10-17T23:52:11.121831Z,0460
5th & Arbutus,14,1,1,0,49.267222,-123.153157,2024-10-17T23:52:11.096926Z,0110
Stanley Park - Information Booth,16,2,2,0,49.297933,-123.130758,2024-10-17T23:52:11.115510Z,0209
14th & Main,10,4,1,3,49.258425,-123.100792,2024-10-17T23:52:11.098013Z,0134
Georgia & Main,12,7,0,7,49.278529,-123.100017,2024-10-17T23:52:11.114793Z,0199
Alma & Point Grey,2,22,2,20,49.27247,-123.185643,2024-10-17T23:52:11.121254Z,0410
20th & Main,11,5,3,2,49.252691,-123.101289,2024-10-17T23:52:11.122805Z,0561
Nelson & Mainland,15,5,1,4,49.276436,-123.11877,2024-10-17T23:52:11.082035Z,0078
Point Grey & Blenheim,0,14,6,8,49.271471,-123.17731,2024-10-17T23:52:11.121510Z,0440
Yukon & 6th,5,11,0,11,49.265939,-123.1129,2024-10-17T23:52:11.113224Z,0171
Burrard & 7th,13,2,1,1,49.265336,-123.145823,2024-10-17T23:52:11.112122Z,0140
14th & Granville,4,5,3,2,49.25894,-123.139272,2024-10-17T23:52:11.081541Z,0071
Wall & Eton,11,7,0,7,49.287464,-123.060771,2024-10-17T23:52:11.122999Z,0611
Beach & Cardero,7,13,3,10,49.283298,-123.142288,2024-10-17T23:52:11.112212Z,0142
Cypress & 4th,14,4,0,4,49.268269,-123.147885,2024-10-17T23:52:11.081894Z,0076
Bute & Robson,0,0,0,0,49.285836,-123.127265,2024-10-17T23:52:11.059416Z,0036
Richards & Robson,11,4,1,3,49.280216,-123.117639,2024-10-17T23:52:11.097584Z,0129
Glen & Union,5,9,0,9,49.277469,-123.081315,2024-10-17T23:52:11.116710Z,0221
8th & Yukon,19,4,1,3,49.263962,-123.112621,2024-10-17T23:52:11.113159Z,0170
1st & Chestnut,5,17,1,16,49.270721,-123.146175,2024-10-17T23:52:11.096792Z,0108
10th & Main,10,2,2,0,49.262141,-123.101961,2024-10-17T23:52:11.081753Z,0074
Georgia & Homer,12,2,1,1,49.280787,-123.115271,2024-10-17T23:52:11.120478Z,0305
York & Yew,13,6,0,6,49.271741,-123.155421,2024-10-17T23:52:11.115241Z,0204
Ontario & Seawall,2,15,1,14,49.271721,-123.104207,2024-10-17T23:52:11.057820Z,0011
10th & Granville,14,0,0,0,49.262598,-123.138921,2024-10-17T23:52:11.081467Z,0070
15th & Knight,8,6,1,5,49.256496,-123.075426,2024-10-17T23:52:11.120048Z,0283
Ontario & 23rd,9,1,1,0,49.249722,-123.104991,2024-10-17T23:52:11.122676Z,0554
Dunbar & Broadway,8,18,2,16,49.264579,-123.18373,2024-10-17T23:52:11.121381Z,0415
Carrall & Hastings,1,16,0,16,49.28117,-123.104419,2024-10-17T23:52:11.095630Z,0098
8th & Commercial,18,1,0,1,49.263242,-123.070521,2024-10-17T23:52:11.118102Z,0242
Charleson Park,0,12,0,12,49.267628,-123.127698,2024-10-17T23:52:11.112287Z,0143
Beach & Hornby,0,21,1,20,49.275295,-123.132585,2024-10-17T23:52:11.059808Z,0045
Princess & Union,7,3,0,3,49.277615,-123.091654,2024-10-17T23:52:11.115984Z,0215
3rd & Quebec,6,13,0,13,49.268216,-123.103168,2024-10-17T23:52:11.097256Z,0119
Stanley Park - Second Beach South,0,17,2,15,49.294318,-123.148808,2024-10-17T23:52:11.096505Z,0104
6th & Carolina,13,3,2,1,49.265213,-123.090785,2024-10-17T23:52:11.120343Z,0298
UBC Bookstore,5,7,0,7,49.265207,-123.250139,2024-10-17T23:52:11.123751Z,2134
Balaclava & Broadway,3,15,5,10,49.264483,-123.173926,2024-10-17T23:52:11.121639Z,0444
Expo & Carrall,0,15,0,15,49.278004,-123.105664,2024-10-17T23:52:11.079414Z,0054
Beach & Seymour,5,13,0,13,49.273568,-123.129935,2024-10-17T23:52:11.098322Z,0137
27th & Main,20,2,1,1,49.247204,-123.101549,2024-10-17T23:52:11.122935Z,0565
Stanley Park - Second Beach North,8,8,2,6,49.29534,-123.150433,2024-10-17T23:52:11.096318Z,0102
Keith & 6th,6,22,1,21,49.265005,-123.079481,2024-10-17T23:52:11.117828Z,0236
Jericho Beach,19,7,0,7,49.271221,-123.191133,2024-10-17T23:52:11.121063Z,0400
Point Grey & Bayswater,11,5,0,5,49.271044,-123.170661,2024-10-17T23:52:11.121703Z,0450
7th & Woodland,9,3,0,3,49.264251,-123.073853,2024-10-17T23:52:11.118546Z,0249
Aquatic Centre,23,16,0,16,49.27821,-123.136972,2024-10-17T23:52:11.082304Z,0083
Georgia & Thurlow,3,8,3,5,49.285953,-123.124066,2024-10-17T23:52:11.097388Z,0123
Cordova & Granville,4,13,1,12,49.2856698,-123.1125432,2024-10-17T23:52:11.058416Z,0021
Vanier Park,9,18,4,14,49.275717,-123.142564,2024-10-17T23:52:11.081965Z,0077
Trafalgar & Broadway,6,9,1,8,49.264326,-123.164725,2024-10-17T23:52:11.121897Z,0464
Napier & Commercial,10,2,1,1,49.274881,-123.069323,2024-10-17T23:52:11.117547Z,0231
7th & Laurel,9,2,2,0,49.265071,-123.123864,2024-10-17T23:52:11.114401Z,0191
Science World,4,10,0,10,49.273691,-123.102232,2024-10-17T23:52:11.114534Z,0193
Pender & Victoria,15,1,0,1,49.280197,-123.065859,2024-10-17T23:52:11.119584Z,0272
Cypress & 16th,6,6,1,5,49.25741,-123.148531,2024-10-17T23:52:11.097190Z,0115
Spyglass & Seawall,7,5,1,4,49.270877,-123.115103,2024-10-17T23:52:11.057684Z,0009
Keefer & Hawks,9,7,2,5,49.279235,-123.087528,2024-10-17T23:52:11.117327Z,0228
29th & Cambie,18,2,2,0,49.245135,-123.116098,2024-10-17T23:52:11.122477Z,0526
Victoria & 10th,12,0,0,0,49.261188,-123.066009,2024-10-17T23:52:11.119717Z,0274
Commercial & Adanac,14,2,1,1,49.277436,-123.070427,2024-10-17T23:52:11.116872Z,0223
Columbia & 14th,9,4,1,3,49.258902,-123.109596,2024-10-17T23:52:11.113833Z,0180
Dunsmuir & Richards,18,0,0,0,49.282214,-123.114101,2024-10-17T23:52:11.057914Z,0012
Campbell & Hastings,12,1,0,1,49.280852,-123.084746,2024-10-17T23:52:11.117256Z,0227
Franklin & Nanaimo,19,0,0,0,49.282087,-123.056909,2024-10-17T23:52:11.123255Z,0642
Charles & Commercial,19,2,1,1,49.273103,-123.069892,2024-10-17T23:52:11.117758Z,0235
Strangway Building,17,7,0,7,49.2661087286495,-123.2456811408,2024-10-17T23:52:11.123956Z,2154
Beatty & Nelson,0,11,0,11,49.275679,-123.116963,2024-10-17T23:52:11.058681Z,0027
Trimble & 8th,9,9,0,9,49.2658,-123.20596,2024-10-17T23:52:11.123319Z,0715
David Lam Park,2,15,1,14,49.270905,-123.126006,2024-10-17T23:52:11.098230Z,0136
Burrard & 4th,11,4,0,4,49.267859,-123.145782,2024-10-17T23:52:11.112006Z,0139
Cypress & Cornwall,3,19,1,18,49.272827,-123.147744,2024-10-17T23:52:11.081168Z,0065
Keefer & Princess,11,3,0,3,49.279369,-123.091241,2024-10-17T23:52:11.117397Z,0229
Bidwell & Burnaby,4,20,1,19,49.28526,-123.141809,2024-10-17T23:52:11.080247Z,0060
11th & Kingsway,14,1,1,0,49.261122,-123.097571,2024-10-17T23:52:11.113750Z,0179
Pender & Burrard,2,23,3,20,49.287097,-123.118551,2024-10-17T23:52:11.058202Z,0016
Columbia & 1st,19,4,1,3,49.269969,-123.109623,2024-10-17T23:52:11.113355Z,0173
Melville & Bute,11,2,0,2,49.287782,-123.12395,2024-10-17T23:52:11.114323Z,0190
Anderson & 2nd,18,8,0,8,49.269361,-123.13782,2024-10-17T23:52:11.081246Z,0066
5th & Main,9,7,0,7,49.266456,-123.100324,2024-10-17T23:52:11.114729Z,0198
Alexander & Dunlevy,4,10,0,10,49.284062,-123.095097,2024-10-17T23:52:11.112964Z,0161
13th & St George,14,0,0,0,49.258817,-123.092797,2024-10-17T23:52:11.119179Z,0258
Commercial & Pandora,8,7,0,7,49.283236,-123.070443,2024-10-17T23:52:11.120141Z,0285
Grandview & Commercial,16,0,0,0,49.263746,-123.069892,2024-10-17T23:52:11.118896Z,0254
Expo & Smithe,2,12,1,11,49.276115,-123.114496,2024-10-17T23:52:11.081084Z,0064
Cypress & 14th,8,3,1,2,49.25919,-123.148268,2024-10-17T23:52:11.097123Z,0114
Brock Commons,6,11,1,10,49.269172,-123.25279,2024-10-17T23:52:11.123623Z,2131
Beach & Broughton,16,3,0,3,49.281301,-123.139108,2024-10-17T23:52:11.082360Z,0084
Arbutus Greenway & 14th,19,1,0,1,49.258924,-123.152591,2024-10-17T23:52:11.112628Z,0152
Alexander & Main,3,16,0,16,49.284157,-123.099917,2024-10-17T23:52:11.112560Z,0150
Hornby & Drake,22,1,0,1,49.277178,-123.13,2024-10-17T23:52:11.114600Z,0196
Highbury & 8th,10,10,0,10,49.265442,-123.187738,2024-10-17T23:52:11.121191Z,0403
Pharmaceutical Sciences,20,4,4,0,49.26262,-123.2431,2024-10-17T23:52:11.124032Z,2156
Haro & Denman,3,15,0,15,49.290587,-123.13625,2024-10-17T23:52:11.097322Z,0122
Windsor & 14th,3,9,1,8,49.257985,-123.083366,2024-10-17T23:52:11.119916Z,0281
Prince Edward & 16th,11,2,1,1,49.256694,-123.096579,2024-10-17T23:52:11.119038Z,0256
Cardero & Davie,11,5,1,4,49.285512,-123.1384,2024-10-17T23:52:11.059614Z,0040
Stamps Landing,1,12,0,12,49.26893,-123.11813,2024-10-17T23:52:11.057751Z,0010
Marinaside & Davie,0,18,0,18,49.273471,-123.118016,2024-10-17T23:52:11.058269Z,0017
Adanac & McLean,20,2,0,2,49.277665,-123.073653,2024-10-17T23:52:11.116796Z,0222
Bute & Davie,20,0,0,0,49.282055,-123.133045,2024-10-17T23:52:11.114171Z,0187
Victoria & 4th,13,3,0,3,49.266725,-123.065925,2024-10-17T23:52:11.119650Z,0273
Heather & 29th,20,1,0,1,49.245535,-123.120496,2024-10-17T23:52:11.122348Z,0516
McNicoll & Arbutus,3,26,0,26,49.276292,-123.150592,2024-10-17T23:52:11.112835Z,0155
Jervis & Robson,16,2,2,0,49.28691,-123.128818,2024-10-17T23:52:11.120610Z,0310
IK Barber Learning Centre,11,8,5,3,49.267561,-123.252261,2024-10-17T23:52:11.123687Z,2132
Granville Island,9,22,7,15,49.27029,-123.135025,2024-10-17T23:52:11.114246Z,0189
6th & Prince Edward,16,0,0,0,49.265242,-123.095577,2024-10-17T23:52:11.120277Z,0297
Broughton & Davie,17,2,2,0,49.283749,-123.136133,2024-10-17T23:52:11.082416Z,0087
Adanac & Lakewood,18,1,1,0,49.27751,-123.061429,2024-10-17T23:52:11.123063Z,0617
Cypress & 10th,11,3,2,1,49.262944,-123.148109,2024-10-17T23:52:11.081319Z,0068
Thunderbird Parkade,17,0,0,0,49.261655,-123.241924,2024-10-17T23:52:11.124166Z,2157
Burrard Station (Melville & Dunsmuir),15,10,8,2,49.285871,-123.12105,2024-10-17T23:52:11.057245Z,0002
22nd & Cambie,8,6,1,5,49.251358,-123.115637,2024-10-17T23:52:11.122611Z,0532
Glen & Broadway,18,0,0,0,49.262242,-123.081459,2024-10-17T23:52:11.118389Z,0246
Stanley Park - Totem Poles,19,0,0,0,49.298657,-123.121176,2024-10-17T23:52:11.096581Z,0105
Davie & Beach,1,27,1,26,49.287528,-123.142139,2024-10-17T23:52:11.058780Z,0028
Pender & Gore,11,2,0,2,49.280284,-123.097052,2024-10-17T23:52:11.115769Z,0213
Richards & Davie,8,3,3,0,49.275683,-123.124388,2024-10-17T23:52:11.082244Z,0082
Pender & Commercial,8,6,0,6,49.280332,-123.070068,2024-10-17T23:52:11.117111Z,0224
18th & Cambie,19,4,0,4,49.254818,-123.114785,2024-10-17T23:52:11.122546Z,0531
2nd & Commercial,21,0,0,0,49.268616,-123.069908,2024-10-17T23:52:11.117966Z,0240
Wesbrook Village - Berton & Shrum,22,6,3,3,49.25478,-123.23621,2024-10-17T23:52:11.124249Z,2252
Chilco & Robson,5,9,3,6,49.293257,-123.138563,2024-10-17T23:52:11.082650Z,0093
Keefer & Columbia,2,10,0,10,49.279342,-123.101822,2024-10-17T23:52:11.079544Z,0055
Rogers Tower,9,4,0,4,49.288682,-123.11818,2024-10-17T23:52:11.115112Z,0201
Woodland & Graveley,12,0,0,0,49.270684,-123.073562,2024-10-17T23:52:11.118686Z,0252
Cardero & Bayshore,10,10,0,10,49.291597,-123.129158,2024-10-17T23:52:11.115042Z,0200
Nelson & Denman,11,7,0,7,49.2890705989865,-123.138407369468,2024-10-17T23:52:11.120739Z,0313
8th & Fraser,13,3,0,3,49.263382,-123.088837,2024-10-17T23:52:11.119316Z,0261
Balaclava & 6th,3,12,4,8,49.266924,-123.173849,2024-10-17T23:52:11.121573Z,0443
Cambie & Water,12,18,2,16,49.284605,-123.108662,2024-10-17T23:52:11.068166Z,0052
Helmcken & Burrard,11,3,1,2,49.279938,-123.127478,2024-10-17T23:52:11.059549Z,0039
Hornby & Pender,11,9,0,9,49.28602,-123.116624,2024-10-17T23:52:11.058483Z,0024
7th & Heather,17,1,0,1,49.265089,-123.119425,2024-10-17T23:52:11.082180Z,0081
Union & Dunlevy,2,14,0,14,49.277595,-123.09583,2024-10-17T23:52:11.115705Z,0212
Richards & Helmcken,14,2,1,1,49.277141,-123.122589,2024-10-17T23:52:11.111850Z,0138
Keefer & Abbott,0,26,1,25,49.279821,-123.10802,2024-10-17T23:52:11.079301Z,0053
8th & Prince Edward,14,3,1,2,49.263518,-123.09568,2024-10-17T23:52:11.119383Z,0262
